"trial_id","number","study_id","state","datetime_start","datetime_complete"
"1","0","1","COMPLETE","2026-05-07 01:03:23.215601","2026-05-07 01:08:37.696107"
"2","1","1","COMPLETE","2026-05-07 01:08:57.249312","2026-05-07 01:11:28.836706"
"3","2","1","COMPLETE","2026-05-07 01:11:43.829304","2026-05-07 01:19:48.688041"
"4","3","1","COMPLETE","2026-05-07 01:19:49.251918","2026-05-07 01:25:25.841225"
"5","4","1","COMPLETE","2026-05-07 01:25:26.444735","2026-05-07 01:29:05.941424"
"6","5","1","COMPLETE","2026-05-07 01:29:06.467317","2026-05-07 01:31:36.128855"
"7","6","1","COMPLETE","2026-05-07 01:31:36.392460","2026-05-07 01:35:30.062365"
"8","7","1","COMPLETE","2026-05-07 01:35:31.556785","2026-05-07 01:37:42.386137"
"9","8","1","COMPLETE","2026-05-07 01:37:42.774086","2026-05-07 01:42:15.700013"
"10","9","1","COMPLETE","2026-05-07 01:42:21.595502","2026-05-07 01:44:20.522818"
"11","10","1","COMPLETE","2026-05-07 01:44:28.195724","2026-05-07 01:49:08.400196"
"12","11","1","COMPLETE","2026-05-07 01:49:08.918945","2026-05-07 01:53:43.853363"
"13","12","1","COMPLETE","2026-05-07 01:53:50.223965","2026-05-07 01:57:27.646999"
"14","13","1","COMPLETE","2026-05-07 01:57:33.344249","2026-05-07 02:03:29.671457"
"15","14","1","COMPLETE","2026-05-07 02:03:36.595110","2026-05-07 02:07:16.418954"
"16","15","1","COMPLETE","2026-05-07 02:07:24.136516","2026-05-07 02:10:28.093691"
"17","16","1","COMPLETE","2026-05-07 02:10:28.173093","2026-05-07 02:20:01.918416"
"18","17","1","COMPLETE","2026-05-07 02:20:02.042298","2026-05-07 02:25:24.690023"
"19","18","1","COMPLETE","2026-05-07 02:25:24.796556","2026-05-07 02:30:46.796495"
"20","19","1","COMPLETE","2026-05-07 02:30:48.167965","2026-05-07 02:43:15.549338"
"21","20","1","COMPLETE","2026-05-07 02:43:15.658370","2026-05-07 02:45:27.308444"
"22","21","1","COMPLETE","2026-05-07 02:45:27.420673","2026-05-07 02:48:33.091553"
"23","22","1","COMPLETE","2026-05-07 02:48:33.366749","2026-05-07 02:53:26.062373"
"24","23","1","COMPLETE","2026-05-07 02:53:26.163017","2026-05-07 02:56:48.856037"
"25","24","1","COMPLETE","2026-05-07 02:56:49.791293","2026-05-07 03:03:05.835006"
"26","25","1","COMPLETE","2026-05-07 03:03:05.952431","2026-05-07 03:05:47.324659"
"27","26","1","COMPLETE","2026-05-07 03:05:47.437490","2026-05-07 03:08:19.621270"
"28","27","1","COMPLETE","2026-05-07 03:08:19.727841","2026-05-07 03:14:47.436593"
"29","28","1","COMPLETE","2026-05-07 03:14:52.861277","2026-05-07 03:27:22.387622"
"30","29","1","COMPLETE","2026-05-07 03:27:23.195677","2026-05-07 03:39:29.216382"
"31","30","1","COMPLETE","2026-05-07 03:39:29.412198","2026-05-07 03:45:49.232010"
"32","31","1","COMPLETE","2026-05-07 03:45:51.600134","2026-05-07 03:57:50.501279"
"33","32","1","COMPLETE","2026-05-07 03:57:51.005488","2026-05-07 04:02:13.721034"
"34","33","1","COMPLETE","2026-05-07 04:02:15.362249","2026-05-07 04:08:49.733201"
"35","34","1","COMPLETE","2026-05-07 04:08:52.357811","2026-05-07 04:19:07.173722"
"36","35","1","COMPLETE","2026-05-07 04:19:08.094696","2026-05-07 04:26:25.921667"
"37","36","1","COMPLETE","2026-05-07 04:26:26.045218","2026-05-07 04:32:16.387217"
"38","37","1","COMPLETE","2026-05-07 04:32:17.219726","2026-05-07 04:54:13.099894"
"39","38","1","COMPLETE","2026-05-07 04:54:13.221923","2026-05-07 05:00:06.351522"
"40","39","1","COMPLETE","2026-05-07 05:00:06.470916","2026-05-07 05:11:10.251178"
"41","40","1","COMPLETE","2026-05-07 05:11:10.371221","2026-05-07 05:32:04.881183"
"42","41","1","COMPLETE","2026-05-07 05:32:07.481668","2026-05-07 05:38:38.735020"
"43","42","1","COMPLETE","2026-05-07 05:38:39.012114","2026-05-07 05:46:43.802759"
"44","43","1","COMPLETE","2026-05-07 05:46:45.075735","2026-05-07 05:54:30.476287"
"45","44","1","COMPLETE","2026-05-07 05:54:32.964377","2026-05-07 06:07:02.162320"
"46","45","1","COMPLETE","2026-05-07 06:07:04.714552","2026-05-07 06:12:54.688565"
"47","46","1","COMPLETE","2026-05-07 06:12:55.014413","2026-05-07 06:16:13.804983"
"48","47","1","COMPLETE","2026-05-07 06:16:15.192598","2026-05-07 06:27:14.296449"
"49","48","1","COMPLETE","2026-05-07 06:27:14.419142","2026-05-07 06:40:06.528416"
"50","49","1","COMPLETE","2026-05-07 06:40:06.609400","2026-05-07 06:45:57.897163"
"51","50","1","COMPLETE","2026-05-07 06:45:57.979638","2026-05-07 07:12:44.637437"
"52","51","1","COMPLETE","2026-05-07 07:12:45.870030","2026-05-07 07:19:09.054955"
"53","52","1","COMPLETE","2026-05-07 07:19:12.829252","2026-05-07 07:27:54.666741"
"54","53","1","COMPLETE","2026-05-07 07:27:54.852333","2026-05-07 07:37:09.067859"
"55","54","1","COMPLETE","2026-05-07 07:37:18.692474","2026-05-07 07:43:22.277742"
"56","55","1","COMPLETE","2026-05-07 07:43:22.831870","2026-05-07 07:47:46.058075"
"57","56","1","COMPLETE","2026-05-07 07:47:47.407722","2026-05-07 08:03:30.487903"